GEOCODE,VARIABLE,COUNT,RATE
101,COVID-19,12,116.0
102,COVID-19,2,102.2
103,COVID-19,2,67.9
104,COVID-19,14,70.7
201,COVID-19,15,95.3
202,COVID-19,10,75.0
203,COVID-19,0,77.0
204,COVID-19,20,60.4
205,COVID-19,11,51.6
206,COVID-19,2,105.3
207,COVID-19,13,110.0
208,COVID-19,11,82.7
209,COVID-19,11,60.8
210,COVID-19,4,114.8
211,COVID-19,5,87.2
301,COVID-19,11,117.0
302,COVID-19,12,80.3
303,COVID-19,5,105.4
304,COVID-19,4,81.9
401,COVID-19,17,117.1
402,COVID-19,19,83.3
403,COVID-19,2,106.8
405,COVID-19,7,86.0
407,COVID-19,17,97.3
408,COVID-19,2,67.5
409,COVID-19,3,88.2
410,COVID-19,13,99.0
305307,COVID-19,20,69.4
306308,COVID-19,3,74.7
309310,COVID-19,1,110.5
404406,COVID-19,10,109.4
501502,COVID-19,7,103.5
503504,COVID-19,20,90.4
105106107,COVID-19,12,113.3
101,Influenza,3,89.2
102,Influenza,20,85.9
103,Influenza,7,94.6
104,Influenza,16,67.8
201,Influenza,8,82.7
202,Influenza,8,71.8
203,Influenza,20,57.4
204,Influenza,10,75.6
205,Influenza,10,111.4
206,Influenza,17,83.7
207,Influenza,17,76.0
208,Influenza,1,97.6
209,Influenza,16,119.5
210,Influenza,3,108.6
211,Influenza,13,66.8
301,Influenza,10,71.1
302,Influenza,18,60.2
303,Influenza,9,117.9
304,Influenza,2,73.8
401,Influenza,9,63.2
402,Influenza,14,104.4
403,Influenza,3,54.7
405,Influenza,10,54.5
407,Influenza,17,108.7
408,Influenza,5,59.4
409,Influenza,11,86.3
410,Influenza,16,110.5
305307,Influenza,13,108.6
306308,Influenza,4,61.0
309310,Influenza,16,107.8
404406,Influenza,3,117.8
501502,Influenza,1,82.0
503504,Influenza,9,75.4
105106107,Influenza,4,55.7
101,RSV,11,106.7
102,RSV,19,100.1
103,RSV,2,76.0
104,RSV,18,117.1
201,RSV,2,70.1
202,RSV,6,94.5
203,RSV,4,67.3
204,RSV,4,95.0
205,RSV,4,78.4
206,RSV,19,60.4
207,RSV,16,89.4
208,RSV,15,115.6
209,RSV,13,81.5
210,RSV,16,74.7
211,RSV,11,61.9
301,RSV,6,77.0
302,RSV,16,95.6
303,RSV,10,59.7
304,RSV,8,85.2
401,RSV,2,92.4
402,RSV,3,78.7
403,RSV,3,62.9
405,RSV,13,73.9
407,RSV,8,113.9
408,RSV,12,93.2
409,RSV,2,110.2
410,RSV,14,95.3
305307,RSV,1,76.0
306308,RSV,18,97.1
309310,RSV,1,66.5
404406,RSV,0,50.3
501502,RSV,11,65.4
503504,RSV,15,79.0
105106107,RSV,17,114.5
